0,1,2,3,4,5,6,7,8
Machine,Test Temperature,,Avg. 0.2% Yield Strength,,Avg. Ultimate Tensile Strength,,Avg. Elongation,Tested Samples
"Single-Laser
AM Printer 1",°F,°C,ksi,Mpa,ksi,Mpa,%,#
,-320,-196,105.0,723.9,178.0,1227.3,49.0,2
,75,24,69.7,480.3,129.3,891.7,51.5,3
,800,427,59.5,410.2,95.0,655.0,40.0,1
,1200,649,53.5,368.9,91.5,630.9,43.0,1
,1600,871,29.9,206.2,38.1,262.7,62.0,1
,1832,1000,21.8,150.3,23.2,159.6,45.5,2
,2000,1093,15.8,108.9,16.9,116.3,32.5,3
Machine,Test Temperature,,Avg. 0.2% Yield Strength,,Avg. Ultimate Tensile Strength,,Avg. Elongation,Tested Samples
"Single-Laser
AM Printer 2",°F,°C,ksi,Mpa,ksi,Mpa,%,#
,75,24,69.7,480.7,114.5,789.4,48.2,12
,400,204,55.1,380.1,95.3,656.7,,4
,800,427,52.0,358.5,87.4,602.4,,4
,1000,538,51.6,355.9,85.5,589.3,46.1,4
,1200,649,46.4,319.9,82.9,571.4,,4
,1600,871,27.2,187.2,36.4,250.6,,4
,1800,982,19.2,132.2,22.8,157.0,,4
,1900,1038,19.0,131.0,19.3,133.1,,4
,2000,1093,14.9,102.8,15.5,107.0,37.1,10
,2100,1149,13.0,89.6,13.3,91.7,21.8,7
,2200,1204,10.2,70.4,11.0,76.0,13.2,3
,2300,1260,8.6,59.5,9.6,66.1,15.0,3
,2400,1316,5.5,37.8,6.6,45.8,4.3,3
Machine,Test Temperature,,Avg. 0.2% Yield Strength,,Avg. Ultimate Tensile Strength,,Avg. Elongation,Tested Samples
"Single-Laser
AM Printer 3",°F,°C,ksi,Mpa,ksi,Mpa,%,#
,75,24,67.6,466.3,107.4,740.7,62.8,3
,1000,538,49.3,339.9,84.2,580.5,59.2,3
,2000,1093,13.2,90.8,14.6,100.4,40.6,3
Machine,Test Temperature,,Avg. 0.2% Yield Strength,,Avg. Ultimate Tensile Strength,,Avg. Elongation,Tested Samples
"Multi-Laser
AM Printer 1",°F,°C,ksi,Mpa,ksi,Mpa,%,#
,75,24,65.9,454.4,111.9,771.7,51.0,8
,400,204,54.1,373.1,92.5,637.5,51.4,8
,800,427,50.9,351.0,86.5,596.5,52.7,8
,1000,538,48.5,334.4,81.8,564.2,52.7,3
,1200,649,45.4,312.8,81.4,561.3,58.2,8
,1400,760,43.5,299.9,58.8,405.6,109.0,3
,1600,871,27.7,190.8,35.2,242.5,104.1,8
,1800,982,19.0,131.0,21.8,150.2,88.2,8
,1900,1038,16.1,111.1,17.4,120.2,68.5,5
,2000,1093,13.6,93.9,14.4,99.0,58.5,11
,2100,1149,11.6,80.3,11.9,82.0,,3
,2200,1204,9.5,65.2,9.7,66.7,,3
,2300,1260,7.7,52.8,7.9,54.7,,3
