0,1,2,3,4,5,6
"Laser Power & 
Sample 
Configuration",Aging Treatment,"Aging 
Treatment","Yield Stress 
(ksi)","Tensile Stress 
(ksi)","Fracture 
Elongation 
(%)","Strain 
Hardening 
Exponent 
(n)"
"350 W – 0.248"" W × 
0.047"" T",1325 °F/16h,A 1,89.98,147.52,25.32,0.210
,1300 °F/16h,A 2,78.48,143.62,26.91,0.250
,1275 °F/16h + 1200 °F/16h,A 3,83.54,147.61,27.89,0.237
,1275 °F/16h + 1150 F/16h,A 4,73.57,142.37,30.97,0.274
"1070 W – Round Bar 
(0.6"" Diameter)",1325 °F/16h,A 1,109.60,171.61,32.23,0.198
,1300 °F/16h,A 2,88.44,162.74,37.87,0.263
,1275 °F/16h + 1200 °F/16h,A 3,92.95,166.19,36.74,0.251
,1275 °F/16h + 1150 °F/16h,A 4,87.02,162.40,38.97,0.271
"1070 W – 0.248"" W × 
0.140"" T",1325 °F/16h,A 1,104.54,155.29,21.78,0.175
,1300 °F/16h,A 2,96.48,156.21,26.67,0.216
,1275 °F/16h + 1200 °F/16h,A 3,100.14,157.09,27.50,0.197
,1275 °F/16h + 1150 °F/16h,A 4,92.42,158.33,29.66,0.223
"2600 W – 0.247"" W × 
0.25"" T",1325 °F/16h,A 1,106.56,166.37,31.93,0.182
,1300 °F/16h,A 2,106.82,164.11,31.52,0.192
,1275 °F/16h + 1200 °F/16,A 3,107.42,170.17,31.61,0.189
,1275 °F/16h + 1150 °F/16,A 4,102.23,168.56,31.89,0.190
